# 
# File: blocking3.csv
# 
1,0,0,5
0,0,1,10
0,0,0,50
1,0,0,5
0,0,1,10
0,0,0,50
1,0,0,5
0,0,1,10
0,0,0,50
1,0,0,5
0,0,1,10
0,0,0,50
1,0,0,5
0,0,1,10
0,0,0,50
1,1,0,5
0,0,1,10
0,0,0,50
1,1,0,5
0,0,1,10
0,0,0,50
1,1,0,5
0,0,1,10
0,0,0,50
1,1,0,5
0,0,1,10
0,0,0,50
1,1,0,5
0,0,1,10
0,0,0,50
1,1,0,5
0,0,1,10
0,0,0,50
0,1,0,5
1,1,0,5
0,0,1,10
0,0,0,50
0,1,0,5
1,1,0,5
0,0,1,10
0,0,0,50
0,1,0,5
1,1,0,5
0,0,1,10
0,0,0,50
0,1,0,5
1,1,0,5
0,0,1,10
0,0,0,50
0,1,0,5
1,1,0,5
0,0,1,10
0,0,0,50
0,1,0,5
1,1,0,5
0,0,1,10
0,0,0,50
